"Source Cube Name","BLD Build Profile","BLD Dimension List","Build Version","Update Hierarchy","Update Elements","Update Subsets","Hierarchy Export File Name","Attribute Export File Name","Element Export File Name","Subset Export File Name","Process Parameter Export File Name"
"BLD Dimension Control","Import Mapping","IMP Data Source List","v1.0","Yes","Yes","Yes","Dimension_Source_IMP Data Source List_v1.0_}20210822205500_466665997_tmp.csv","Attribute_Source_IMP Data Source List_v1.0_}20210822205500_466665997_tmp.csv","Element_Source_IMP Data Source List_v1.0_}20210822205500_466665997_tmp.csv","Subset_Source_IMP Data Source List_v1.0_}20210822205500_466665997_tmp.csv","Process_Parameter_Source_IMP Data Source List_v1.0_}20210822205500_466665997_tmp.csv"
"BLD Dimension Control","Import Mapping","IMP Data Source Version","v1.0","Yes","Yes","Yes","Dimension_Source_IMP Data Source Version_v1.0_}20210822205500_466665997_tmp.csv","Attribute_Source_IMP Data Source Version_v1.0_}20210822205500_466665997_tmp.csv","Element_Source_IMP Data Source Version_v1.0_}20210822205500_466665997_tmp.csv","Subset_Source_IMP Data Source Version_v1.0_}20210822205500_466665997_tmp.csv","Process_Parameter_Source_IMP Data Source Version_v1.0_}20210822205500_466665997_tmp.csv"
"BLD Dimension Control","Import Mapping","IMP Column List","v1.0","Yes","Yes","Yes","Dimension_Source_IMP Column List_v1.0_}20210822205500_466665997_tmp.csv","Attribute_Source_IMP Column List_v1.0_}20210822205500_466665997_tmp.csv","Element_Source_IMP Column List_v1.0_}20210822205500_466665997_tmp.csv","Subset_Source_IMP Column List_v1.0_}20210822205500_466665997_tmp.csv","Process_Parameter_Source_IMP Column List_v1.0_}20210822205500_466665997_tmp.csv"
"BLD Dimension Control","Import Mapping","IMP Column Mapping Measure","v1.0","Yes","Yes","Yes","Dimension_Source_IMP Column Mapping Measure_v1.0_}20210822205500_466665997_tmp.csv","Attribute_Source_IMP Column Mapping Measure_v1.0_}20210822205500_466665997_tmp.csv","Element_Source_IMP Column Mapping Measure_v1.0_}20210822205500_466665997_tmp.csv","Subset_Source_IMP Column Mapping Measure_v1.0_}20210822205500_466665997_tmp.csv","Process_Parameter_Source_IMP Column Mapping Measure_v1.0_}20210822205500_466665997_tmp.csv"
